,land_txn_date,proj_name,land_txn_price
0,2022/1/1,Gloria Mansions,1098
1,2021/12/1,Former High Point,2626
2,2021/12/1,Former La Ville,1540
3,2021/10/1,Watten Estate Condominium,1723
4,2021/10/1,Slim Barracks Rise,1210
5,2021/10/1,Slim Barracks Rise,1246
6,2021/9/1,Flynn Park,1318
7,2021/8/1,Tampines Street 62,659
8,2021/6/1,Tengah Garden Walk,603
9,2021/6/1,Ang Mo Kio Avenue 1,1118
10,2021/5/1,Northumberland Road Condo,1129
11,2021/7/1,6A/B/C Robin Drive,1454
12,2021/3/1,"2, 4, 6 Mount Emily Road",1115
13,2021/3/1,Surrey Point,1332
